customer_id,ssn,first_name,last_name,email,birthday
219,9285607141,Pearlene,Moore,pearlene.moore@qgrzkfk.com,2005-06-02
220,3876367420,Melida,Goff,melida.goff@dyblspg.com,1982-01-13
222,3694787842,Leonore,Rocha,leonore.rocha@maukkzr.com,2002-12-11
223,3238244875,Calandra,Bennett,calandra.bennett@kzbpuxs.com,2009-04-19
225,5842004632,Johnny,Christian,johnny.christian@mhblgfg.com,2003-11-08
226,1634851213,Roni,Rocha,roni.rocha@mrezfyk.com,1976-03-12
228,6058984515,Donnetta,Burton,donnetta.burton@rohqtsj.com,2004-03-03
229,4102502683,Toi,Lynn,toi.lynn@zpwtfyr.com,2002-10-19
231,7801538339,Kerstin,Pacheco,kerstin.pacheco@yvhsgrk.com,2006-07-22
232,1279321544,Russell,Gillespie,russell.gillespie@hahtcec.com,1995-02-07
234,4133935703,Nikia,Flores,nikia.flores@tryqcus.com,1985-04-08
235,7057214503,Miesha,Vang,miesha.vang@nzdqnob.com,2006-06-12
237,5286889808,Katie,Stout,katie.stout@kcfjsns.com,2001-10-21
238,1885390641,Xiao,Spence,xiao.spence@ehglumj.com,1982-10-21
240,2640781403,Hollis,Mendez,hollis.mendez@xssnvzc.com,1993-11-01
241,6356835101,Rosio,Whitley,rosio.whitley@pahiebi.com,2001-11-07
243,0648217938,Towanda,Savage,towanda.savage@tgrmwzb.com,2002-10-21
244,2829003173,Jeffie,Simon,jeffie.simon@tipiamd.com,1979-11-03
245,3863244897,Marica,Vang,marica.vang@rloroaj.com,1973-11-26
248,8767114428,Vena,Kinney,vena.kinney@wopblxh.com,2009-02-20
250,7797876249,Kamilah,Crane,kamilah.crane@hygnqzd.com,2002-11-11
251,7573571051,Arnita,Puckett,arnita.puckett@rsnuucp.com,1995-10-11
253,5626540568,Justa,Castro,justa.castro@vstbcyt.com,2008-08-23
254,1209741488,Jamee,Norris,jamee.norris@cmehdbn.com,1987-11-13
256,7117639338,Ricki,Duncan,ricki.duncan@hysimlc.com,2008-12-19
257,5294519212,Nicol,Chavez,nicol.chavez@dpftxrs.com,1970-12-22
259,2254052906,Maryrose,Maldonado,maryrose.maldonado@jwgqnfd.com,1974-10-27
260,6423974882,Laree,Moss,laree.moss@tlwlhyd.com,1996-12-02
262,0807214539,Angelo,Ferrell,angelo.ferrell@egdsvdp.com,2002-06-01
264,9195581231,Carletta,Cook,carletta.cook@arctxxu.com,1994-09-06
265,2808251131,Travis,Wilder,travis.wilder@lmzhrrz.com,2007-11-25
266,2097192662,Ignacio,Boyle,ignacio.boyle@tpfqfdf.com,2002-10-26
268,1963210496,Belkis,Yang,belkis.yang@pomuzag.com,1982-11-28
269,4017358680,Edward,Rose,edward.rose@qerlkja.com,2001-05-18
271,9311242869,Angila,Flowers,angila.flowers@yaxkuxl.com,1983-04-21
272,0170078319,Mariko,Bartlett,mariko.bartlett@pxmquhx.com,1986-05-01
274,3226647146,Terresa,Norton,terresa.norton@eczhtkc.com,1989-12-21
275,1993737081,Paul,Cote,paul.cote@fcxhtcu.com,2006-12-03
276,4927087691,Leonard,Foley,leonard.foley@lggyguq.com,2003-12-18
279,1628747750,Sherlene,Knowles,sherlene.knowles@abvjjmy.com,2001-02-22
281,7877832234,Scottie,Cantrell,scottie.cantrell@gagqvma.com,1988-02-26
283,5446801963,Deandra,Knowles,deandra.knowles@scrtyvc.com,2007-12-04
284,0339074913,Maragret,Mccormick,maragret.mccormick@lgxjkix.com,1995-02-18
285,9235253103,Ardath,Ortega,ardath.ortega@unxrizx.com,2001-05-18
287,9965844936,Kiera,Wilkinson,kiera.wilkinson@mlslqqe.com,1994-09-11
288,2948938299,Earleen,Chaney,earleen.chaney@gamrpbx.com,1975-07-10
290,7470798542,Reagan,Hopper,reagan.hopper@mwswjqr.com,2000-11-23
291,2510776581,Altha,Potter,altha.potter@pzmcdsg.com,1991-11-01
293,2077661349,Lael,Barlow,lael.barlow@whowiak.com,1978-02-06
295,9708886936,Angila,Hester,angila.hester@iyjdoub.com,1987-06-21
296,7440891322,Tracee,Koch,tracee.koch@ncwbiab.com,2004-11-11
297,6729750952,Rasheeda,Rodriquez,rasheeda.rodriquez@rqxdpso.com,2004-04-22
299,1581130359,Devona,Aguirre,devona.aguirre@mnsgjpm.com,2008-11-24
300,9956384599,So,May,so.may@cejcnkk.com,1996-10-01
302,2148461239,Fredda,Robinson,fredda.robinson@ybrbkko.com,2005-11-06
303,5691247884,Berry,Langley,berry.langley@cnymqxi.com,2004-12-17
305,8665185874,Clarinda,Webster,clarinda.webster@gtjnaah.com,2008-03-22
306,6370029625,Lashaunda,Mcmahon,lashaunda.mcmahon@mfjnpzf.com,1989-02-06
308,9859643875,Reda,Langley,reda.langley@zxogjze.com,2006-10-21
309,8703942192,Maryam,Carney,maryam.carney@fhjxwdd.com,2009-10-15
311,2763085271,Johnetta,Mcknight,johnetta.mcknight@iwnsmdo.com,1975-08-15
312,6476760354,Charis,Vang,charis.vang@fdztmos.com,2006-02-11
315,8642602876,Onita,Griffith,onita.griffith@fsvcgzz.com,2008-10-08
